dateTime,usoCpu,frequence,temp
25/11/2023 21:11,0.0,1542.2774,53.5
25/11/2023 21:11,1.6,1441.9474,53.5
25/11/2023 21:11,1.5,1612.3846,53.5
25/11/2023 21:11,0.0,1337.1576,54.5
25/11/2023 21:11,0.0,1328.7626,53.5
25/11/2023 21:11,1.5,1377.4282,52.5
25/11/2023 21:11,1.5,1636.0272,52.5
25/11/2023 21:11,3.1,1354.3226,52.5
25/11/2023 21:11,4.5,1246.0336,52.5
25/11/2023 21:11,3.0,1486.9626,53.5
25/11/2023 21:11,3.1,1337.3338,51.5
25/11/2023 21:11,1.5,1734.5824,53.5
25/11/2023 21:11,1.5,1480.4310,53.5
25/11/2023 21:11,0.0,1518.8926,53.5
25/11/2023 21:11,0.0,1416.7508,52.5
25/11/2023 21:11,3.2,1692.0646,52.5
25/11/2023 21:11,0.0,1519.9764,52.5
25/11/2023 21:11,0.0,1672.0360,52.5
25/11/2023 21:11,0.0,1515.0386,53.5
25/11/2023 21:11,0.0,1267.5248,53.5
25/11/2023 21:11,3.2,1969.9200,53.5
25/11/2023 21:11,0.0,1468.0820,52.5
25/11/2023 21:11,1.5,1455.3142,53.5
25/11/2023 21:11,1.6,1474.0456,53.5
25/11/2023 21:11,1.5,1244.0094,53.5
25/11/2023 21:11,3.0,1896.2582,52.5
25/11/2023 21:11,1.6,1479.4018,52.5
25/11/2023 21:11,0.0,1301.6712,53.5
25/11/2023 21:11,1.5,1565.4452,53.5
25/11/2023 21:11,3.0,1421.1100,52.5
25/11/2023 21:11,1.5,1367.5744,52.5
25/11/2023 21:11,4.5,1374.9802,52.5
25/11/2023 21:11,1.5,1494.4276,52.5
25/11/2023 21:11,1.6,1505.7090,52.5
25/11/2023 21:11,1.5,1347.2494,53.5
25/11/2023 21:11,0.0,1370.6864,53.5
25/11/2023 21:11,3.0,1487.3184,52.5
25/11/2023 21:11,0.0,1373.2752,53.5
25/11/2023 21:11,0.0,1463.4088,53.5
25/11/2023 21:11,0.0,1348.7720,53.5
25/11/2023 21:11,0.0,1413.3252,53.5
25/11/2023 21:11,1.5,1376.4546,52.5
25/11/2023 21:11,1.5,1326.0422,53.5
25/11/2023 21:11,3.1,1444.2578,52.5
25/11/2023 21:11,1.5,1375.9058,53.5
25/11/2023 21:11,1.5,1461.4340,53.5
25/11/2023 21:11,3.2,1989.2928,52.5
25/11/2023 21:12,1.5,1460.6332,52.5
25/11/2023 21:12,1.5,1318.5710,53.5
25/11/2023 21:12,1.5,1597.5760,52.5
25/11/2023 21:12,1.5,1577.9086,52.5
25/11/2023 21:12,3.2,1868.9290,52.5
25/11/2023 21:12,1.6,1386.7058,52.5
25/11/2023 21:12,0.0,1534.1804,53.5
25/11/2023 21:12,1.5,1377.4510,53.5
25/11/2023 21:12,3.0,1435.9834,53.5
25/11/2023 21:12,0.0,1201.8016,53.5
25/11/2023 21:12,4.5,1542.1920,53.5
25/11/2023 21:12,0.0,1656.3778,53.5
25/11/2023 21:12,0.0,1421.1622,53.5
25/11/2023 21:12,0.0,1387.5180,53.5
25/11/2023 21:12,3.0,1420.5808,53.5
25/11/2023 21:12,4.7,1827.3212,52.5
25/11/2023 21:12,3.1,1720.2132,52.5
25/11/2023 21:12,1.5,1372.3548,52.5
25/11/2023 21:12,0.0,1249.9320,52.5
25/11/2023 21:12,1.6,1532.2948,52.5
25/11/2023 21:12,4.7,1791.2960,52.5
25/11/2023 21:12,0.0,1385.9954,52.5
25/11/2023 21:12,4.6,1354.9174,52.5
25/11/2023 21:12,1.5,1402.4242,52.5
25/11/2023 21:12,4.6,1388.4904,52.5
25/11/2023 21:12,4.6,2114.7720,53.5
25/11/2023 21:12,1.6,1430.9572,52.5
25/11/2023 21:12,3.1,1590.2480,53.5
25/11/2023 21:12,3.1,1409.8420,53.5
25/11/2023 21:12,1.6,1497.5548,53.5
25/11/2023 21:12,0.0,1614.7168,53.5
25/11/2023 21:12,4.5,1406.7746,53.5
25/11/2023 21:12,1.5,1394.7110,52.5
25/11/2023 21:12,1.5,1388.4880,53.5
25/11/2023 21:12,1.6,1120.7682,53.5
25/11/2023 21:12,1.5,1147.6074,52.5
25/11/2023 21:12,5.9,1575.2752,52.5
25/11/2023 21:12,1.5,1438.9436,52.5
25/11/2023 21:12,0.0,1307.5582,52.5
25/11/2023 21:12,1.5,1369.6222,53.5
25/11/2023 21:12,0.0,1498.7632,52.5
25/11/2023 21:12,3.1,1654.4770,52.5
25/11/2023 21:12,0.0,1550.9032,52.5
25/11/2023 21:12,1.6,1486.6582,53.5
25/11/2023 21:12,2.9,1597.0756,52.5
25/11/2023 21:12,0.0,1372.7162,53.5
25/11/2023 21:12,3.2,1900.6810,52.5
25/11/2023 21:12,1.5,1484.1150,53.5
25/11/2023 21:12,1.5,1499.9586,53.5
25/11/2023 21:13,0.0,1545.7492,53.5
25/11/2023 21:13,1.5,1288.1702,53.5
25/11/2023 21:13,3.0,2123.5102,53.5
25/11/2023 21:13,3.1,1664.0556,52.5
25/11/2023 21:13,0.0,1350.4318,52.5
25/11/2023 21:13,0.0,1396.7454,53.5
25/11/2023 21:13,1.5,1169.5712,53.5
25/11/2023 21:13,0.0,1374.3728,52.5
25/11/2023 21:13,4.5,1377.2850,52.5
25/11/2023 21:13,1.5,1392.8656,52.5
25/11/2023 21:13,0.0,1347.4074,52.5
25/11/2023 21:13,0.0,1387.1624,52.5
25/11/2023 21:13,1.5,1358.5326,53.5
25/11/2023 21:13,6.2,1621.5144,53.5
25/11/2023 21:13,0.0,1630.6898,53.5
25/11/2023 21:13,0.0,1489.1684,53.5
25/11/2023 21:13,0.0,1195.8786,53.5
25/11/2023 21:13,1.5,1398.3732,53.5
25/11/2023 21:13,0.0,1996.7394,53.5
25/11/2023 21:13,0.0,1299.8964,52.5
25/11/2023 21:13,0.0,1346.2728,53.5
25/11/2023 21:13,0.0,1550.8762,53.5
25/11/2023 21:13,0.0,1465.9980,53.5
25/11/2023 21:13,3.2,1586.7752,52.5
25/11/2023 21:13,0.0,1554.9384,52.5
25/11/2023 21:13,1.5,1355.6788,52.5
25/11/2023 21:13,0.0,1552.1414,52.5
25/11/2023 21:13,0.0,1407.2522,52.5
25/11/2023 21:13,0.0,2113.7818,52.5
25/11/2023 21:13,1.6,1728.9778,52.5
25/11/2023 21:13,0.0,1454.8594,52.5
25/11/2023 21:13,1.5,1524.1280,52.5
25/11/2023 21:13,1.6,1554.3490,53.5
25/11/2023 21:13,1.5,1564.0340,52.5
25/11/2023 21:13,4.5,1566.2282,52.5
25/11/2023 21:13,1.5,1542.7796,53.5
25/11/2023 21:13,1.6,1541.1106,53.5
25/11/2023 21:13,1.5,1407.6362,53.5
25/11/2023 21:13,1.6,1694.7710,52.5
25/11/2023 21:13,3.1,1385.5458,51.5
25/11/2023 21:13,0.0,1527.5466,51.5
25/11/2023 21:13,1.5,1661.0684,52.5
25/11/2023 21:13,1.5,1425.5348,53.5
25/11/2023 21:13,1.6,1338.4742,53.5
25/11/2023 21:13,4.8,1798.1588,52.5
25/11/2023 21:13,3.0,1438.3268,52.5
25/11/2023 21:13,3.1,1630.0346,52.5
25/11/2023 21:13,4.5,1314.3678,53.5
25/11/2023 21:13,1.5,1499.7788,52.5
25/11/2023 21:14,4.8,2046.8622,52.5
25/11/2023 21:14,1.6,1445.2014,52.5
25/11/2023 21:14,1.6,1600.4158,52.5
25/11/2023 21:14,3.0,1489.9270,52.5
25/11/2023 21:14,1.5,1574.4432,52.5
25/11/2023 21:14,1.5,1367.7982,52.5
25/11/2023 21:14,6.1,1383.8554,53.5
25/11/2023 21:14,1.5,1505.5148,52.5
25/11/2023 21:14,3.1,1446.1534,52.5
25/11/2023 21:14,1.6,1532.7204,53.5
25/11/2023 21:14,3.1,1428.9074,53.5
